symbol,name,market,asset_type,kospi200
007310,오뚜기,KOSPI,STOCK,Y
007340,DN오토모티브,KOSPI,STOCK,Y
007460,에이프로젠,KOSPI,STOCK,N
007540,샘표,KOSPI,STOCK,N
007570,일양약품,KOSPI,STOCK,N
007575,일양약품우,KOSPI,STOCK,N
007590,동방아그로,KOSPI,STOCK,N
007610,선도전기,KOSPI,STOCK,N
007660,이수페타시스,KOSPI,STOCK,Y
007690,국도화학,KOSPI,STOCK,N
007700,F&F홀딩스,KOSPI,STOCK,N
007810,코리아써키트,KOSPI,STOCK,N
007815,코리아써우,KOSPI,STOCK,N
007860,서연,KOSPI,STOCK,N
007980,TP,KOSPI,STOCK,N
008040,사조동아원,KOSPI,STOCK,N
008060,대덕,KOSPI,STOCK,N
008110,대동전자,KOSPI,STOCK,N
008250,이건산업,KOSPI,STOCK,N
008260,NI스틸,KOSPI,STOCK,N
008350,남선알미늄,KOSPI,STOCK,N
008355,남선알미우,KOSPI,STOCK,N
008420,문배철강,KOSPI,STOCK,N
008490,서흥,KOSPI,STOCK,N
008500,일정실업,KOSPI,STOCK,N
008600,윌비스,KOSPI,STOCK,N
008700,아남전자,KOSPI,STOCK,N
008730,율촌화학,KOSPI,STOCK,N
008770,호텔신라,KOSPI,STOCK,Y
008775,호텔신라우,KOSPI,STOCK,N
008870,금비,KOSPI,STOCK,N
008930,한미사이언스,KOSPI,STOCK,Y
008970,KBI동양철관,KOSPI,STOCK,N
009070,KCTC,KOSPI,STOCK,N
009140,경인전자,KOSPI,STOCK,N
009150,삼성전기,KOSPI,STOCK,Y
009155,삼성전기우,KOSPI,STOCK,N
009160,SIMPAC,KOSPI,STOCK,N
009180,한솔로지스틱스,KOSPI,STOCK,N
009190,대양금속,KOSPI,STOCK,N
009200,무림페이퍼,KOSPI,STOCK,N
009240,한샘,KOSPI,STOCK,Y
009270,신원,KOSPI,STOCK,N
009290,광동제약,KOSPI,STOCK,N
009310,참엔지니어링,KOSPI,STOCK,N
009320,아진전자부품,KOSPI,STOCK,N
009410,태영건설,KOSPI,STOCK,N
009415,태영건설우,KOSPI,STOCK,N
009420,한올바이오파마,KOSPI,STOCK,Y
009440,KC그린홀딩스,KOSPI,STOCK,N
009450,경동나비엔,KOSPI,STOCK,Y
009460,한창제지,KOSPI,STOCK,N
009470,삼화전기,KOSPI,STOCK,N
009540,HD한국조선해양,KOSPI,STOCK,Y
